model,aic,bic,rmse,mape
Regression (trend+harmonics+month dummies),,,5.183391290240361,0.3302681480168614
"SARIMAX (0,1,1) x (0,1,1,52)",83.0537748878285,87.35573650128393,3.279260756787626,0.2212263692887795
