Modelo,normality_ad_statistic,normality_ad_p_value,ljung_box_statistic,ljung_box_p_value,arch_test_statistic,arch_test_p_value,durbin_watson_statistic,descriptive_stats_mean,descriptive_stats_std,descriptive_stats_skewness,descriptive_stats_kurtosis,descriptive_stats_min,descriptive_stats_max,mean_test_t_statistic,mean_test_p_value
Mean,7.8991765424415235,2.3857411303904366e-19,851.5695434768361,1.6774976624326706e-176,89.0503958583481,8.261167886993734e-15,0.07079772826607923,0.0,3.1671570144019126,0.875504692794338,-0.10603864032465582,-3.2134782608695653,11.256521739130434,0.0,1.0
Naive,7.8991765424415235,2.3857411303904366e-19,851.5695434768361,1.6774976624326706e-176,123.31946115511705,1.0713703727916699e-21,0.005193527205316115,-11.256521739130434,3.1671570144019126,0.8755046927943381,-0.10603864032465538,-14.469999999999999,0.0,-41.60015067010943,1.354988713487942e-79
Drift,7.8991765424415235,2.3857411303904366e-19,851.5695434768361,1.6774976624326706e-176,123.31946115511705,1.0713703727916699e-21,0.005193527205316115,-11.256521739130434,3.1671570144019126,0.8755046927943381,-0.10603864032465538,-14.469999999999999,0.0,-41.60015067010943,1.354988713487942e-79
RollingMean_k4,5.810542531795392,2.2440323306723602e-14,43.24822140926041,4.4896793624971015e-06,31.068714180723163,0.0005715883864027333,0.8945877614583446,0.06624684940138635,0.8570845795881351,-0.33476252779256876,4.265052754676957,-3.0334782608695656,3.6675000000000004,0.9046942515830527,0.36721557100628477
Covariates,7.8991765424415235,2.3857411303904366e-19,851.5695434768361,1.6774976624326706e-176,89.0503958583481,8.261167886993734e-15,0.07079772826607923,0.0,3.1671570144019126,0.875504692794338,-0.10603864032465582,-3.2134782608695653,11.256521739130434,0.0,1.0
Exponential,4.826512561385016,5.234487527887712e-12,13.819767312206222,0.18137245358345164,23.238676424674296,0.009899054616601274,1.828725926528062,3.3829480418900026e-07,0.8308222552979575,0.25039425004820237,6.129875791581249,-3.6627499895525517,4.0203432974296405,4.765928138224777e-06,0.9999962042722931
