model,aic,bic,rmse,mape
Regression (trend+harmonics+month dummies),,,5.183391290240362,0.3302681480168612
"SARIMAX (0,1,1) x (0,1,1,52)",83.05377488775927,87.35573650121472,3.2792605367582954,0.22122632831288389
